                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.23763,                0.21668,                0.91152,                0.93942,                0.88841,                0.94346,                0.81561,                0.60312,                0.41869,                 1.1308,                 0.0067,                 0.0067,                 0.0067
                    102,                0.23629,                0.21432,                0.91223,                0.93939,                0.88794,                0.94322,                 0.8161,                0.60264,                0.41692,                   1.13,               0.006667,               0.006667,               0.006667
                    103,                0.23541,                0.21275,                0.91567,                0.93943,                0.88927,                0.94342,                0.81644,                0.60173,                0.41536,                 1.1292,               0.006634,               0.006634,               0.006634
                    104,                0.23597,                0.21438,                0.91107,                0.94053,                0.88933,                0.94363,                0.81731,                0.60015,                0.41381,                 1.1275,               0.006601,               0.006601,               0.006601
                    105,                0.23402,                0.21006,                0.91036,                0.93933,                0.88956,                0.94396,                0.81835,                0.59939,                0.41261,                 1.1264,               0.006568,               0.006568,               0.006568
                    106,                0.23232,                0.21237,                0.91087,                0.93754,                0.89023,                0.94455,                0.81931,                0.59862,                0.41195,                 1.1255,               0.006535,               0.006535,               0.006535
                    107,                0.23398,                0.21162,                0.90969,                0.93701,                0.89046,                0.94517,                0.81936,                0.59754,                0.41078,                 1.1237,               0.006502,               0.006502,               0.006502
                    108,                0.23337,                0.21146,                0.91048,                0.93618,                0.88992,                0.94561,                0.82029,                0.59649,                0.40972,                 1.1222,               0.006469,               0.006469,               0.006469
                    109,                0.23233,                0.21065,                0.91173,                0.93578,                0.89062,                0.94603,                0.82125,                 0.5956,                0.40817,                 1.1208,               0.006436,               0.006436,               0.006436
                    110,                0.23148,                0.20696,                 0.9104,                0.93632,                0.88946,                 0.9463,                0.82033,                0.59386,                0.40651,                 1.1189,               0.006403,               0.006403,               0.006403
                    111,                0.23198,                0.21107,                0.91083,                0.93711,                0.88987,                0.94668,                0.82171,                0.59287,                0.40393,                 1.1178,                0.00637,                0.00637,                0.00637
                    112,                0.22822,                0.20512,                0.90868,                0.94035,                0.88917,                0.94593,                0.82197,                0.59241,                0.40248,                 1.1173,               0.006337,               0.006337,               0.006337
                    113,                0.22728,                 0.2054,                0.90805,                0.94177,                0.88937,                0.94605,                0.82295,                0.59138,                0.40102,                 1.1158,               0.006304,               0.006304,               0.006304
                    114,                0.22644,                0.20247,                0.90774,                0.94268,                0.88945,                0.94687,                 0.8232,                0.59013,                0.39986,                 1.1143,               0.006271,               0.006271,               0.006271
                    115,                0.22907,                0.20621,                0.90921,                0.94299,                0.89084,                0.94749,                 0.8253,                0.58828,                 0.3986,                 1.1127,               0.006238,               0.006238,               0.006238
                    116,                  0.226,                 0.2061,                  0.908,                0.94386,                0.88828,                 0.9484,                0.82587,                0.58673,                0.39767,                 1.1114,               0.006205,               0.006205,               0.006205
                    117,                0.22529,                0.20425,                0.90727,                0.94397,                0.89311,                0.94874,                0.82644,                0.58486,                0.39556,                 1.1095,               0.006172,               0.006172,               0.006172
                    118,                0.22532,                0.20314,                0.90843,                0.94667,                0.88815,                0.94885,                0.82771,                 0.5835,                0.39371,                 1.1081,               0.006139,               0.006139,               0.006139
                    119,                0.22375,                0.20457,                0.90726,                0.94624,                0.88971,                0.94905,                0.82877,                 0.5824,                0.39224,                 1.1072,               0.006106,               0.006106,               0.006106
                    120,                0.22456,                0.20359,                0.90776,                0.94664,                0.89367,                0.95016,                0.82944,                0.58107,                0.39054,                 1.1061,               0.006073,               0.006073,               0.006073
