                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.19682,                0.19151,                0.89981,                0.97117,                0.88876,                0.94936,                0.85348,                0.51126,                0.33582,                 1.0842,               0.007492,               0.007492,               0.007492
                     78,                    inf,                0.19228,                0.89946,                0.97021,                0.88913,                0.94952,                0.85367,                0.51014,                0.33458,                 1.0831,               0.007459,               0.007459,               0.007459
                     79,                0.19553,                0.18814,                0.89868,                 0.9687,                0.88834,                0.94947,                0.85431,                 0.5088,                0.33306,                 1.0814,               0.007426,               0.007426,               0.007426
                     80,                0.19498,                 0.1908,                 0.8992,                 0.9687,                0.88857,                0.94999,                0.85544,                0.50744,                0.33127,                 1.0805,               0.007393,               0.007393,               0.007393
                     81,                 0.1929,                0.18595,                0.89756,                0.96779,                0.88831,                0.94993,                0.85545,                0.50613,                  0.329,                 1.0795,                0.00736,                0.00736,                0.00736
                     82,                 0.1915,                0.18602,                0.89607,                0.96656,                0.88882,                0.95094,                0.85734,                0.50574,                  0.328,                 1.0796,               0.007327,               0.007327,               0.007327
                     83,                0.19033,                 0.1874,                0.89628,                0.96519,                0.88933,                0.95098,                0.85827,                0.50533,                0.32742,                  1.079,               0.007294,               0.007294,               0.007294
                     84,                0.19095,                0.18348,                0.89805,                0.96517,                0.88949,                 0.9512,                0.85898,                0.50411,                 0.3253,                 1.0776,               0.007261,               0.007261,               0.007261
                     85,                0.18972,                0.18146,                0.89479,                  0.967,                  0.889,                0.95078,                 0.8592,                0.50182,                 0.3245,                 1.0749,               0.007228,               0.007228,               0.007228
                     86,                0.18798,                0.18124,                0.89381,                0.96663,                0.88923,                0.95068,                0.86051,                0.50077,                0.32491,                 1.0737,               0.007195,               0.007195,               0.007195
                     87,                0.18748,                 0.1828,                0.89448,                 0.9653,                0.88923,                0.95086,                0.86175,                0.49982,                0.32376,                  1.073,               0.007162,               0.007162,               0.007162
                     88,                 0.1869,                0.18076,                0.89541,                 0.9665,                0.88852,                0.95134,                0.86159,                0.49887,                0.32265,                 1.0721,               0.007129,               0.007129,               0.007129
                     89,                0.18668,                 0.1808,                0.89622,                0.96269,                0.89489,                0.95143,                0.86212,                0.49775,                0.32269,                 1.0709,               0.007096,               0.007096,               0.007096
                     90,                 0.1875,                0.18409,                0.89546,                0.96194,                0.89606,                0.95181,                0.86192,                0.49695,                0.32201,                 1.0702,               0.007063,               0.007063,               0.007063
                     91,                0.18626,                0.18092,                0.89368,                0.96362,                 0.8953,                0.95209,                0.86236,                0.49663,                0.32173,                   1.07,                0.00703,                0.00703,                0.00703
                     92,                0.18393,                0.17798,                0.89379,                0.96442,                0.89314,                0.95241,                 0.8626,                0.49554,                0.32052,                 1.0689,               0.006997,               0.006997,               0.006997
                     93,                0.18264,                0.18023,                0.89128,                0.96392,                0.89189,                0.95202,                0.86263,                0.49451,                0.32089,                 1.0679,               0.006964,               0.006964,               0.006964
                     94,                0.18116,                0.17631,                0.89137,                0.96643,                 0.8912,                0.95204,                0.86228,                0.49351,                0.32048,                 1.0666,               0.006931,               0.006931,               0.006931
                     95,                0.18264,                0.17836,                0.89186,                0.95121,                0.90439,                0.95227,                0.86268,                0.49228,                0.31957,                 1.0655,               0.006898,               0.006898,               0.006898
                     96,                0.18018,                0.17603,                0.89189,                0.95067,                0.90678,                0.95246,                0.86331,                0.49094,                0.31933,                 1.0638,               0.006865,               0.006865,               0.006865
                     97,                0.18075,                0.17638,                0.89097,                0.95221,                0.90609,                0.95223,                0.86447,                0.48905,                0.31919,                 1.0618,               0.006832,               0.006832,               0.006832
                     98,                0.18232,                0.17486,                0.89131,                0.95414,                0.90689,                0.95247,                0.86477,                 0.4874,                0.31949,                 1.0604,               0.006799,               0.006799,               0.006799
                     99,                0.17802,                0.17168,                0.88887,                0.95448,                0.90691,                0.95269,                0.86437,                0.48662,                0.31859,                 1.0597,               0.006766,               0.006766,               0.006766
                    100,                0.17819,                0.17266,                0.89064,                0.95276,                0.90736,                0.95321,                 0.8656,                0.48583,                0.31742,                 1.0592,               0.006733,               0.006733,               0.006733
                    101,                0.17712,                0.17395,                0.88695,                0.95256,                0.90736,                0.95349,                0.86746,                0.48459,                0.31696,                 1.0582,                 0.0067,                 0.0067,                 0.0067
                    102,                0.17869,                0.17064,                0.88892,                0.95421,                0.90647,                0.95367,                0.86748,                0.48343,                0.31629,                  1.057,               0.006667,               0.006667,               0.006667
                    103,                 0.1775,                0.17213,                0.89099,                 0.9526,                0.90736,                0.95393,                0.86782,                0.48294,                0.31631,                 1.0565,               0.006634,               0.006634,               0.006634
                    104,                0.17669,                0.16992,                 0.8892,                  0.954,                0.90633,                  0.955,                0.86859,                0.48176,                0.31505,                 1.0554,               0.006601,               0.006601,               0.006601
                    105,                 0.1749,                0.16765,                0.88695,                0.95296,                0.90565,                0.95525,                0.86995,                0.48051,                0.31343,                 1.0541,               0.006568,               0.006568,               0.006568
                    106,                0.17458,                0.16957,                0.88792,                0.95465,                0.90558,                0.95535,                0.87059,                0.47955,                0.31232,                 1.0532,               0.006535,               0.006535,               0.006535
                    107,                 0.1745,                0.16727,                0.88809,                0.95432,                0.90558,                0.95551,                0.87027,                0.47845,                0.31116,                 1.0522,               0.006502,               0.006502,               0.006502
                    108,                0.17328,                0.16851,                0.88718,                0.95475,                 0.9058,                 0.9558,                0.87067,                0.47727,                0.31098,                 1.0511,               0.006469,               0.006469,               0.006469
                    109,                0.17401,                0.16717,                0.88725,                0.95487,                0.90811,                0.95624,                0.87121,                0.47597,                0.31008,                 1.0495,               0.006436,               0.006436,               0.006436
                    110,                0.17418,                0.16728,                0.88574,                0.95586,                0.90705,                0.95656,                0.87181,                0.47505,                0.30919,                 1.0481,               0.006403,               0.006403,               0.006403
                    111,                0.17179,                0.16741,                0.88521,                0.95596,                0.90839,                0.95704,                0.87259,                0.47389,                0.30793,                 1.0468,                0.00637,                0.00637,                0.00637
                    112,                 0.1721,                0.16635,                0.88632,                0.95641,                0.90802,                0.95704,                0.87351,                0.47263,                0.30726,                 1.0453,               0.006337,               0.006337,               0.006337
                    113,                0.17173,                0.16373,                0.88594,                0.95955,                 0.9051,                0.95726,                 0.8743,                0.47145,                0.30581,                 1.0438,               0.006304,               0.006304,               0.006304
                    114,                0.17057,                0.16314,                0.88403,                0.96052,                0.90354,                0.95753,                0.87478,                0.47019,                0.30528,                 1.0427,               0.006271,               0.006271,               0.006271
                    115,                0.17016,                0.16444,                0.88442,                0.95639,                0.90978,                0.95763,                0.87486,                0.46921,                0.30429,                 1.0416,               0.006238,               0.006238,               0.006238
                    116,                0.17003,                0.16516,                0.88434,                0.95504,                 0.9093,                 0.9577,                0.87476,                0.46849,                0.30459,                 1.0409,               0.006205,               0.006205,               0.006205
                    117,                0.16722,                0.16216,                0.88296,                0.95393,                0.90835,                0.95795,                0.87524,                0.46808,                0.30393,                 1.0406,               0.006172,               0.006172,               0.006172
                    118,                0.16947,                0.16141,                0.88469,                0.95522,                0.90978,                0.95817,                0.87601,                0.46738,                0.30305,                 1.0402,               0.006139,               0.006139,               0.006139
                    119,                0.16613,                 0.1609,                0.88263,                0.95563,                0.90978,                0.95836,                0.87665,                0.46635,                0.30187,                 1.0393,               0.006106,               0.006106,               0.006106
                    120,                0.16771,                0.16331,                 0.8823,                0.95726,                0.91077,                0.95844,                0.87696,                 0.4652,                0.30054,                 1.0382,               0.006073,               0.006073,               0.006073
                    121,                0.16614,                0.15957,                0.88289,                0.95852,                 0.9101,                0.95868,                0.87901,                0.46397,                 0.3005,                 1.0371,                0.00604,                0.00604,                0.00604
                    122,                0.16812,                0.15911,                0.88271,                0.95727,                 0.9115,                0.95864,                0.87882,                0.46269,                 0.3002,                 1.0357,               0.006007,               0.006007,               0.006007
                    123,                0.16494,                 0.1601,                0.88278,                  0.955,                0.91182,                0.95897,                0.87905,                 0.4615,                0.29999,                 1.0344,               0.005974,               0.005974,               0.005974
                    124,                0.16606,                0.15835,                0.88195,                0.95549,                0.91034,                0.95908,                0.87981,                0.46049,                0.29934,                 1.0334,               0.005941,               0.005941,               0.005941
                    125,                0.16563,                0.15759,                0.88106,                0.95884,                0.90988,                0.95905,                0.88019,                0.45889,                0.29877,                  1.032,               0.005908,               0.005908,               0.005908
                    126,                0.16335,                0.15647,                0.88058,                0.96074,                0.90988,                0.95944,                0.88068,                0.45752,                0.29789,                 1.0306,               0.005875,               0.005875,               0.005875
                    127,                0.16349,                0.15685,                0.88203,                0.95848,                0.90988,                0.95889,                0.88117,                0.45641,                0.29587,                 1.0296,               0.005842,               0.005842,               0.005842
                    128,                0.16468,                0.15586,                0.88264,                0.96222,                0.90968,                0.95912,                0.88228,                0.45479,                0.29403,                  1.028,               0.005809,               0.005809,               0.005809
                    129,                 0.1613,                0.15478,                 0.8816,                0.96357,                0.90845,                0.95935,                0.88327,                0.45326,                0.29339,                 1.0265,               0.005776,               0.005776,               0.005776
                    130,                0.16167,                0.15523,                0.88047,                0.96266,                0.90845,                 0.9595,                0.88339,                0.45207,                0.29275,                 1.0254,               0.005743,               0.005743,               0.005743
                    131,                0.16058,                0.15467,                0.87908,                0.96552,                0.90795,                0.95969,                0.88383,                0.45086,                0.29288,                 1.0241,                0.00571,                0.00571,                0.00571
                    132,                0.16243,                0.15502,                0.88103,                0.96564,                0.90748,                0.95978,                0.88467,                0.44974,                0.29218,                  1.023,               0.005677,               0.005677,               0.005677
                    133,                0.16161,                0.15569,                0.88078,                0.96587,                0.90654,                0.95998,                0.88593,                 0.4487,                0.29116,                 1.0222,               0.005644,               0.005644,               0.005644
                    134,                0.15985,                0.15247,                 0.8799,                0.96578,                0.90556,                0.95995,                0.88503,                0.44744,                0.29011,                 1.0209,               0.005611,               0.005611,               0.005611
                    135,                0.15789,                0.15211,                0.87743,                0.96501,                0.90469,                0.95991,                0.88604,                0.44651,                0.28966,                   1.02,               0.005578,               0.005578,               0.005578
                    136,                0.15838,                 0.1547,                0.87894,                0.96773,                0.90469,                0.95991,                0.88635,                0.44526,                0.28952,                 1.0188,               0.005545,               0.005545,               0.005545
                    137,                0.15811,                0.15192,                0.87726,                0.96791,                0.90469,                0.96003,                0.88681,                0.44477,                0.28881,                 1.0181,               0.005512,               0.005512,               0.005512
