                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.40535,                0.34341,                 1.0162,                0.81302,                0.74722,                0.82187,                0.62566,                0.94054,                0.75977,                 1.4985,               0.008416,               0.008416,               0.008416
                     50,                0.39972,                0.33948,                 1.0165,                0.84509,                0.72451,                0.82429,                0.62906,                0.93279,                0.75575,                 1.4875,               0.008383,               0.008383,               0.008383
                     51,                0.39813,                0.33918,                 1.0115,                0.84747,                0.73736,                0.82614,                0.63251,                0.93124,                0.74629,                 1.4826,                0.00835,                0.00835,                0.00835
                     52,                0.39681,                0.33725,                 1.0083,                0.82302,                0.75627,                0.82487,                0.63338,                0.92564,                0.74087,                 1.4815,               0.008317,               0.008317,               0.008317
                     53,                0.39945,                 0.3406,                 1.0133,                 0.8418,                0.72117,                0.82796,                0.63679,                0.91929,                0.73858,                 1.4733,               0.008284,               0.008284,               0.008284
                     54,                0.39384,                0.33516,                 1.0114,                0.79699,                  0.765,                0.83196,                0.64135,                 0.9111,                  0.731,                 1.4672,               0.008251,               0.008251,               0.008251
                     55,                0.39256,                0.33359,                   1.01,                0.80263,                0.76298,                0.83383,                 0.6433,                0.90831,                   0.73,                 1.4667,               0.008218,               0.008218,               0.008218
                     56,                0.39237,                0.33173,                 1.0087,                0.81617,                0.74831,                0.83591,                0.64499,                0.90705,                0.72393,                 1.4628,               0.008185,               0.008185,               0.008185
                     57,                0.39031,                 0.3309,                 1.0088,                 0.8388,                 0.7445,                0.83914,                0.64875,                 0.8984,                0.71901,                 1.4569,               0.008152,               0.008152,               0.008152
                     58,                0.38722,                0.32806,                 1.0042,                0.83903,                0.74814,                0.84009,                0.65215,                0.89544,                0.71375,                 1.4523,               0.008119,               0.008119,               0.008119
                     59,                0.38767,                0.33125,                 1.0062,                0.83505,                0.75853,                0.84182,                0.65608,                0.89241,                0.70858,                 1.4495,               0.008086,               0.008086,               0.008086
                     60,                0.38467,                0.32659,                      1,                0.83782,                0.76124,                0.84416,                0.65726,                0.89249,                0.70268,                 1.4474,               0.008053,               0.008053,               0.008053
